location,population,positive_rate,case_rate_per_100k,mortality_rate_per_100k,testing_rate_per_1k,vaccination_rate_pct,hospitalization_rate_per_100k,icu_rate_per_100k,case_fatality_rate_pct,recent_case_growth,recent_death_growth,case_to_test_ratio,days_to_peak,peak_case_rate_per_100k,recovery_speed,days_to_50pct_vax,vax_acceleration
Dominican Republic,11228821,,5887.55489111457,39.04238922323189,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.6631341863522022,0.0,0.0,0.0,679.0,386.59446080759506,-0.8794276042353663,248.0,0.04612187940876164
East Timor,1341298,,1749.0520376530792,10.28854139795929,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.5882352941176471,0.0,0.0,0.0,525.0,162.97646011550006,-0.016622141741538508,371.0,0.0753554782905418
Ecuador,18001002,,5985.472364260612,200.26662960206326,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,3.3458784439112903,22.857142857142858,0.0,0.0,686.0,342.8809129625118,-1.9915321906871206,217.0,0.16117699203856117
Egypt,110990096,,464.92706880801325,22.371365459491088,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,4.8118010243729445,0.0,0.0,0.0,721.0,14.300375053284034,-0.5305606994035548,209.0,0.06589344739657205
El Salvador,6336393,,3186.671028769838,66.7572229184648,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,2.094889064976228,0.5714285714285714,0.0,0.0,700.0,200.06650471332821,-0.2943275436610997,156.0,0.18506159862756794
Equatorial Guinea,1674916,,1022.7378567044556,10.9259210611159,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.0683012259194395,0.0,0.0,0.0,665.0,69.31690902707957,-0.012032305133562463,209.0,0.02870772202485608
Eritrea,3684041,,276.5712976592823,2.7958429344298827,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.0108941014819903,0.0,0.0,0.0,665.0,15.553572829401192,-0.007596065379524445,209.0,0.07965035055223063
Estonia,1326064,,46036.31498932178,226.0826023480013,0.0,65.06081154454084,0.21161537748486647,0.021358694932478755,0.4910962191488211,0.0,0.0,0.0,707.0,3622.0725394852734,-1.385870766473255,254.0,0.037462517809004066
Eswatini,1201680,,6270.887424272685,118.75041608414887,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.8936780083868572,0.0,0.0,0.0,644.0,627.4548964782638,-0.07860099409832352,209.0,0.04490636632448742
Ethiopia,123379928,,406.2192352713968,6.138761890021527,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.5111942904230506,0.38095238095238093,0.0,0.0,658.0,23.172326701309146,-0.406864964186604,209.0,0.07965035055223063
Falkland Islands,3801,,50591.94948697711,0.0,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.0,0.0,0.0,0.0,770.0,19310.70770849776,-0.006735063159491299,209.0,0.07965035055223063
Faroe Islands,53117,,65248.413878795865,52.71382043413596,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.08078942812626233,0.0,0.0,0.0,700.0,9362.351036391363,-0.07183108351509766,172.0,0.2461498049575405
Fiji,929769,,7426.253187619721,95.18493303175305,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.2817356293539184,0.0,0.0,0.0,497.0,782.3448620033579,-0.15261801927145985,140.0,0.07460225626647206
Finland,5540745,,27066.97384557492,206.93968049422958,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.764546792984253,0.0,0.0,0.0,700.0,1109.0205378518592,-5.377361116087959,224.0,0.086673670445869
